Term	boolean	country	day	establishmentMeans	institutionCode	lifeStage	month	plateWell	processingLab	sequencingLab	sex	typeStatus	year
					IRSAC								
					IRSC<IH>								
					IRSM								
					IRSN								
					IRSNB								
					IRVC<IH>								
					IS<IH>								
					ISAB								
					ISAR								
					ISAS								
					ISB								
					ISBB								
					ISBC								
					ISC								
					ISC<IH>								
					ISCM								
					ISE<IH>								
					ISEAK								
					ISER								
					ISH								
					ISI								
					ISIS<IH>								
					ISKW<IH>								
					ISL<IH>								
					ISM								
					ISM<IH>								
					ISMC								
					ISNHC								
					ISNP								
					ISP								
					ISPaVe								
					ISRA<IH>								
					ISRI								
					ISS								
					ISTC<IH>								
					ISTE<IH>								
					ISTF<IH>								
					ISTO<IH>								
					ISTPM								
					ISU								
					ISU<IH>								
					ISUC								
					ISUI								
					ISUVC								
					ISZA								
					ISZP								
					ITAE<IH>								
					ITAL								
					ITALSL								
					ITALSM								
					ITBCC								
					ITC								
					ITCC								
					ITCO								
					ITCV<IH>								
					ITD								
					ITDI								
					ITEM								
					ITG								
					ITH								
					ITHA								
					ITIC<IH>								
					ITLJ								
					ITMH<IH>								
					ITMM								
					IU								
					IUI<IH>								
					IUIC								
					IUK<IH>								
					IUM<IH>								
					IUP<IH>								
					IUQ								
					IVAU								
					IVF<IH>								
					IVGU<IH>								
					IVIC								
					IVIC<IH>								
					IVPP								
					IZ								
					IZ<IH>								
					IZA								
					IZAC								
					IZAC<IH>								
					IZAS								
					IZASK								
					IZBE								
					IZBT								
					IZCAS								
					IZCR								
					IZEF<IH>								
					IZET-UCV								
					IZGAS								
					IZPAN								
					IZPC								
					IZSI								
					IZTA<IH>								
					IZUA								
					IZUC								
					IZUCS								
					IZUE								
					IZUG								
					IZUI								
					IZUM								
					IZUP								
					IZUW								
					IZW								
					IZWU								
					J<IH>								
					JA<IH>								
					JAC<IH>								
					JACA<IH>								
					JAEN<IH>								
					JAS<IH>								
					JATH								
					JAUM<IH>								
					JAY<IH>								
					JBAG<IH>								
					JBC								
					JBCC<IH>								
					JBG<IH>								
					JBGP<IH>								
					JBL<IH>								
					JBN								
					JBSD<IH>								
					JBVN<IH>								
					JBWM								
					JCB<IH>								
					JCE<IH>								
					JCM								
					JCT								
					JCT<IH>								
					JE<IH>								
					JEF<IH>								
					JEL<IH>								
					JEPS<IH>								
					JESW<IH>								
					JEY<IH>								
					JF<IH>								
					JFBM								
					JHH								
					JHS<IH>								
					JHWU<IH>								
					JIC								
					JII<IH>								
					JIU<IH>								
					JJF<IH>								
					JJT<IH>								
					JJU<IH>								
					JLFC<IH>								
					JLMP<IH>								
					JM								
					JME<IH>								
					JMM								
					JMSMC<IH>								
					JMUH<IH>								
					JN<IH>								
					JNR<IH>								
					JNU								
					JNU<IH>								
					JNUB<IH>								
					JOE<IH>								
					JOI<IH>								
					JONK<IH>								
					JOTR<IH>								
					JP								
					JPB<IH>								
					JPMP								
					JPU<IH>								
					JRAU<IH>								
					JROH<IH>								
					JRY<IH>								
					JSHC								
					JSMPE								
					JSPC								
					JSPC<IH>								
					JSU<IH>								
					JSY<IH>								
					JTNM								
					JTPC								
					JU<IH>								
					JUA<IH>								
					JUG<IH>								
					JUJ<IH>								
					JVC<IH>								
					JVR<IH>								
					JXAU<IH>								
					JXCM<IH>								
					JXF<IH>								
					JXM<IH>								
					JXU<IH>								
					JYV<IH>								
					K<IH>								
					KA<IH>								
					KABA<IH>								
					KAC								
					KACC								
					KAG<IH>								
					KAGS<IH>								
					KAI<IH>								
					KAMA<IH>								
					KANA<IH>								
					KAND<IH>								
					KANU<IH>								
					KAR<IH>								
					KARI								
					KARS								
					KAS<IH>								
					KASH<IH>								
					KASSEL<IH>								
					KATH<IH>								
					KATO<IH>								
					KAUM								
					KAW<IH>								
					KAZ<IH>								
					KB<IH>								
					KBAI<IH>								
					KBG								
					KBHG<IH>								
					KBPV								
					KBRYO<IH>								
					KBSMS<IH>								
					KBT<IH>								
					KCCM								
					KCFS<IH>								
					KCK<IH>								
					KCLB								
					KCMB								
					KCS<IH>								
					KCTC								
					KDL<IH>								
					KDR<IH>								
					KE<IH>								
					KEF<IH>								
					KEI<IH>								
					KEIU								
					KEM<IH>								
					KEMB								
					KEMC								
					KEMH								
					KEN<IH>								
					KEND<IH>								
					KEP<IH>								
					KESC<IH>								
					KEVO<IH>								
					KFBG<IH>								
					KFCC								
					KFI<IH>								
					KFRI								
					KFRI<IH>								
					KFRS								
					KFTA<IH>								
					KFU								
					KFUH<IH>								
					KGU								
					KGY<IH>								
					KH<IH>								
					KHA<IH>								
					KHD<IH>								
					KHER<IH>								
					KHF<IH>								
					KHMM								
					KHMS<IH>								
					KHOR<IH>								
					KHU<IH>								
					KHUG								
					KHUS<IH>								
					KIEL<IH>								
					KIFB								
					KIP<IH>								
					KIRI<IH>								
					KIS<IH>								
					KISA<IH>								
					KIT								
					KITBG								
					KIUJ								
					KIZ								
					KKFC								
					KKM<IH>								
					KKU								
					KKU<IH>								
					KKUA								
					KKUK								
					KL<IH>								
					KLA<IH>								
					KLE<IH>								
					KLGU<IH>								
					KLH<IH>								
					KLN<IH>								
					KLTB								
					KLU<IH>								
					KM								
					KM<IH>								
					KMG<IH>								
					KMK								
					KMKV<IH>								
					KMM								
					KMMA								
					KMMCC								
					KMN<IH>								
					KMNH<IH>								
					KMU								
					KMUT								
					KMV								
					KMVC								
					KNFY<IH>								
					KNH<IH>								
					KNHM								
					KNK<IH>								
					KNL<IH>								
					KNOX<IH>								
					KNP<IH>								
					KNU<IH>								
					KNUC								
					KNUH<IH>								
					KNWR								
					KNY<IH>								
					KNYA<IH>								
					KO<IH>								
					KOCH<IH>								
					KOELN<IH>								
					KOLABIC								
					KONL<IH>								
					KOPRI								
					KOR<IH>								
					KOS								
					KPABG<IH>								
					KPB								
					KPBG<IH>								
					KPE								
					KPM-NI								
					KPM<IH>								
					KPMC								
					KR<IH>								
					KRA<IH>								
					KRAM<IH>								
					KRAS<IH>								
					KRB<IH>								
					KRDY<IH>								
					KRF<IH>								
					KRG<IH>								
					KRIB<IH>								
					KRMS<IH>								
					KRP								
					KRSF								
					KRSU<IH>								
					KSAN<IH>								
					KSBS								
					KSC<IH>								
					KSEM								
					KSHS								
					KSK<IH>								
					KSO<IH>								
					KSP<IH>								
					KSRV<IH>								
					KSTC<IH>								
					KSU<IH>								
					KSUC								
					KSUP<IH>								
					KTC<IH>								
					KTG<IH>								
					KTU<IH>								
					KTUH<IH>								
					KU								
					KU-MACC								
					KU<IH>								
					KUBL								
					KUEC								
					KUEL								
					KUFC								
					KUFS<IH>								
					KUH<IH>								
					KUHE								
					KUIC								
					KUKENS								
					KUKI								
					KUM<IH>								
					KUMA<IH>								
					KUMF								
					KUN<IH>								
					KUNE<IH>								
					KUO<IH>								
					KURS<IH>								
					KUS<IH>								
					KUU<IH>								
					KUZ								
					KUZ<IH>								
					KUZC								
					KVCH<IH>								
					KW<IH>								
					KWHA<IH>								
					KWHU<IH>								
					KWNU<IH>								
					KWP								
					KY<IH>								
					KYM<IH>								
					KYO<IH>								
					KYUM								
					L<IH>								
					LA<IH>								
					LABCC								
					LAC<IH>								
					LACM								
					LAE<IH>								
					LAF<IH>								
					LAGO<IH>								
					LAGU<IH>								
					LAH<IH>								
					LAJC<IH>								
					LAM<IH>								
					LAME								
					LAMU<IH>								
					LAN<IH>								
					LANC<IH>								
					LAPC<IH>								
					LAPL<IH>								
					LARRI								
					LASCA<IH>								
					LAT<IH>								
					LATV<IH>								
					LAU<IH>								
					LAUN<IH>								
					LAUS<IH>								
					LAV<IH>								
					LAVO								
					LBC<IH>								
					LBG								
					LBG<IH>								
					LBIT								
					LBL<IH>								
					LBLC<IH>								
					LBM								
					LBN								
					LBRP								
					LBUCH								
					LBV<IH>								
					LCC								
					LCDI<IH>								
					LCEU<IH>								
					LCF<IH>								
					LCFM								
					LCG<IH>								
					LCH<IH>								
					LCM								
					LCMI								
					LCN<IH>								
					LCO<IH>								
					LCP								
					LCR								
					LCR<IH>								
					LCS<IH>								
					LCSB								
					LCU<IH>								
					LCVA<IH>								
					LD<IH>								
					LDL<IH>								
					LDM								
					LDPC								
					LDS<IH>								
					LDSN<IH>								
					LDSP<IH>								
					LE								
					LE<IH>								
					LEA<IH>								
					LEB								
					LEB<IH>								
					LEC<IH>								
					LECB<IH>								
					LEF<IH>								
					LEI<IH>								
					LEIUG								
					LEMA<IH>								
					LEMQ								
					LEMT								
					LENUD<IH>								
					LEP<IH>								
					LES<IH>								
					LET<IH>								
					LEUN<IH>								
					LEV<IH>								
					LEYN<IH>								
					LFBKU								
					LFCC<IH>								
					LFG<IH>								
					LFM								
					LG<IH>								
					LGBH<IH>								
					LGEMA								
					LGHF<IH>								
					LGICT								
					LGM								
					LGM-USP								
					LGO<IH>								
					LGPUT								
					LGU								
					LHMS								
					LHT<IH>								
					LI								
					LI<IH>								
					LIA								
					LIAIP								
					LIB<IH>								
					LICPP								
					LIG<IH>								
					LIH-UNAM								
					LIHUBA								
					LIL<IH>								
					LILLE<IH>								
					LIM<IH>								
					LIMFC<IH>								
					LIMK<IH>								
					LIMO<IH>								
					LIN-SB								
					LINC<IH>								
					LINF<IH>								
					LINHM								
					LINN<IH>								
					LIP<IH>								
					LIPIMC								
					LIPP								
					LIRP								
					LISC<IH>								
					LISE<IH>								
					LISFA<IH>								
					LISI<IH>								
					LISJC<IH>								
					LISM<IH>								
					LISU<IH>								
					LISVA<IH>								
					LIT<IH>								
					LIUSP								
					LIV								
					LIV<IH>								
					LIVC<IH>								
					LIVCM								
					LIVNFC<IH>								
					LIVU<IH>								
					LJAMM-CNP								
					LJF<IH>								
					LJM<IH>								
					LJS<IH>								
					LJU<IH>								
					LKHD<IH>								
					LL<IH>								
					LLANOS<IH>								
					LLC<IH>								
					LLN<IH>								
					LLO<IH>								
					LM<IH>								
					LMA<IH>								
					LMAD								
					LMC<IH>								
					LMCH								
					LMD								
					LMG								
					LMJ								
					LMJ<IH>								
					LMKG								
					LMND								
					LMNH								
					LMO<IH>								
					LMOB								
					LMRZ								
					LMS								
					LMS<IH>								
					LMSZ								
					LMU<IH>								
					LMZG								
					LNAF<IH>								
					LNAU<IH>								
					LNCM<IH>								
					LNHS<IH>								
					LNK								
					LNKD								
					LNMD								
					LNMO								
					LNNU<IH>								
					LNPV								
					LO								
					LOB<IH>								
					LOC<IH>								
					LOCK								
					LOD<IH>								
					LOJA<IH>								
					LOMA<IH>								
					LON								
					LOU<IH>								
					LP								
					LP<IH>								
					LPA<IH>								
					LPAG<IH>								
					LPB<IH>								
					LPC<IH>								
					LPD<IH>								
					LPFU								
					LPL<IH>								
					LPN<IH>								
					LPS<IH>								
					LPSP								
					LPUB								
					LPUP								
					LPVM								
					LPVPH								
					LR<IH>								
					LRL<IH>								
					LRS<IH>								
					LRTE<IH>								
					LRU<IH>								
					LS								
					LS<IH>								
					LSA<IH>								
					LSAM								
					LSC<IH>								
					LSCR<IH>								
					LSDC<IH>								
					LSHB								
					LSHI<IH>								
					LSN<IH>								
					LSP<IH>								
					LSR<IH>								
					LSRFC<IH>								
					LSSC								
					LSTM								
					LSU<IH>								
					LSUHC								
					LSUM<IH>								
					LSUMZ								
					LSUS<IH>								
					LT<IH>								
					LTB<IH>								
					LTCC-IOC								
					LTH<IH>								
					LTHP<IH>								
					LTI								
					LTM<IH>								
					LTN<IH>								
					LTR<IH>								
					LTU<IH>								
					LU								
					LU<IH>								
					LUA<IH>								
					LUAI<IH>								
					LUB<IH>								
					LUBA<IH>								
					LUBEE								
					LUCAS								
					LUCCA<IH>								
					LUCH<IH>								
					LUD<IH>								
					LUG<IH>								
					LUGO<IH>								
					LUH								
					LUH<IH>								
					LUKI<IH>								
					LUNZ								
					LUQ								
					LUS<IH>								
					LUW								
					LUX<IH>								
					LV<IH>								
					LVNP<IH>								
					LVP-GSC								
					LW<IH>								
					LWA<IH>								
					LWD<IH>								
					LWG<IH>								
					LWI<IH>								
					LWKS<IH>								
					LWL								
					LWS<IH>								
					LWSM<IH>								
					LWU<IH>								
					LY								
					LY<IH>								
					LYAC<IH>								
					LYCC								
					LYD<IH>								
					LYJB<IH>								
					LYN<IH>								
					LZ<IH>								
					LZAH<IH>								
					LZD<IH>								
					LZFD								
					LZLP								
					LZU<IH>								
					LZUH								
					LeishCryoBank								
					LycoCC								
					M<IH>								
					MA<IH>								
					MAA<IH>								
					MAAS<IH>								
					MAC-APU								
					MAC-PAY								
					MAC<IH>								
					MACA								
					MACB<IH>								
					MACF<IH>								
					MACLPI								
					MACN								
					MACN-RN								
					MACNCH								
					MACO<IH>								
					MAD								
					MAD<IH>								
					MADJ<IH>								
					MADM<IH>								
					MADS<IH>								
					MAF<IH>								
					MAFF								
					MAFI								
					MAFST<IH>								
					MAG<IH>								
					MAGB								
					MAGD								
					MAGNT								
					MAH<IH>								
					MAIA<IH>								
					MAIC<IH>								
					MAINE<IH>								
					MAIS<IH>								
					MAK<IH>								
					MAKAR<IH>								
					MAKFUNGI								
					MAL<IH>								
					MALA<IH>								
					MALC								
					MALS<IH>								
					MAMU								
					MAN<IH>								
					MANCH<IH>								
					MAND<IH>								
					MANK<IH>								
					MAO								
					MAPA								
					MAPR<IH>								
					MAR								
					MARDI<IH>								
					MARE<IH>								
					MARK<IH>								
					MARO<IH>								
					MARS<IH>								
					MARSSJ<IH>								
					MARY<IH>								
					MASE<IH>								
					MASS<IH>								
					MATSU<IH>								
					MAU<IH>								
					MAUAM<IH>								
					MAY<IH>								
					MB								
					MB<IH>								
					MBA<IH>								
					MBAB								
					MBAC								
					MBAP								
					MBBJ								
					MBC								
					MBCG								
					MBCSC								
					MBH<IH>								
					MBIC								
					MBK<IH>								
					MBL								
					MBM								
					MBM<IH>								
					MBML<IH>								
					MBMU								
					MBR								
					MBS<IH>								
					MBSL<IH>								
					MBSN								
					MBUCV								
					MBZH								
					MC								
					MCA								
					MCA<IH>								
					MCAS								
					MCBR								
					MCC-UPLB								
					MCCB								
					MCCC								
					MCCI								
					MCCM								
					MCD								
					MCDNL<IH>								
					MCES								
					MCF-PVPH								
					MCF<IH>								
					MCFB								
					MCFM								
					MCFS								
					MCG								
					MCGS								
					MCITM								
					MCIZ								
					MCJ<IH>								
					MCLSBB								
					MCM								
					MCM(CMFRI)								
					MCM<IH>								
					MCMC								
					MCMS								
					MCN<IH>								
					MCNA								
					MCNB								
					MCNC								
					MCNG								
					MCNPV								
					MCNS<IH>								
					MCNV								
					MCNZ								
					MCP								
					MCP<IH>								
					MCPM								
					MCPPV								
					MCPUCRGS								
					MCR<IH>								
					MCRA								
					MCRBS<IH>								
					MCSB								
					MCSC								
					MCSF								
					MCSG								
					MCSN								
					MCSNC								
					MCSNIO								
					MCST								
					MCT<IH>								
					MCTC<IH>								
					MCTF<IH>								
					MCTP								
					MCVE<IH>								
					MCVM								
					MCW<IH>								
					MCZ								
					MCZR								
					MD								
					MDE								
					MDFW								
					MDH								
					MDH<IH>								
					MDI<IH>								
					MDKY<IH>								
					MDLA								
					MDM								
					MDNR<IH>								
					MDP								
					MDRG								
					MDTN<IH>								
					MDUG								
					MDZAU								
					MECB								
					MECG								
					MECN								
					MEDEL<IH>								
					MEFLG								
					MEL								
					MEL<IH>								
					MELG								
					MELIT<IH>								
					MELU<IH>								
					MEM<IH>								
					MEMO<IH>								
					MEN<IH>								
					MEPAN								
					MER<IH>								
					MERC<IH>								
					MERF<IH>								
					MERL<IH>								
					MESA<IH>								
					MEUC								
					MEX<IH>								
					MEXU<IH>								
					MFA-ZV-M								
					MFA<IH>								
					MFAP								
					MFB<IH>								
					MFC								
					MFGC								
					MFLB								
					MFLU								
					MFLU<IH>								
					MFLUCC								
					MFNB								
					MFP								
					MFRU								
					MFS								
					MFSN								
					MFU<IH>								
					MFUW<IH>								
					MFW								
					MG								
					MG<IH>								
					MGA<IH>								
					MGAB								
					MGAP								
					MGB								
					MGC<IH>								
					MGDL								
					MGF								
					MGFT								
					MGH								
					MGHF								
					MGHNL								
					MGHSJ								
					MGI								
					MGL								
					MGPT								
					MGR<IH>								
					MGRI								
					MGS<IH>								
					MGSI								
					MGSP								
					MGUG								
					MGUH								
					MGUP								
					MGUV								
					MGUWR								
					MH								
					MH<IH>								
					MHA<IH>								
					MHES<IH>								
					MHH								
					MHL<IH>								
					MHM<IH>								
					MHMN								
					MHNA								
					MHNB								
					MHNC								
					MHNCI								
					MHNCSJ								
					MHNES								
					MHNG								
					MHNI								
					MHNJP								
					MHNL								
					MHNLR								
					MHNLS								
					MHNM								
					MHNN								
					MHNNICE								
					MHNP								
					MHNSM or M								
					MHNT								
					MHNUNC								
					MHNV								
					MHP								
					MHU<IH>								
					MHUA								
					MHV								
					MHWK<IH>								
					MI<IH>								
					MIB								
					MIC								
					MICG<IH>								
					MICH<IH>								
					MICKKU								
					MID<IH>								
					MII<IH>								
					MIKU								
					MIL<IH>								
					MIM<IH>								
					MIMB								
					MIMM								
					MIN<IH>								
					MINC								
					MINI								
					MIPV<IH>								
					MIRR<IH>								
					MISR<IH>								
					MISS<IH>								
					MISSA<IH>								
					MISU<IH>								
					MIT								
					MIV								
					MIVSA								
					MIWG								
					MIZA								
					MIZL								
					MIZT								
					MJ<IH>								
					MJCM								
					MJG								
					MJG<IH>								
					MJH								
					MJMO								
					MJS<IH>								
					MJSD<IH>								
					MK								
					MKNDC<IH>								
					MKNH<IH>								
					ML								
					MLAV								
					MLGU<IH>								
					MLLD								
					MLMJI								
					MLP								
					MLRU								
					MLS								
					MLS<IH>								
					MLUH								
					MLY<IH>								
					MLZ								
					MM								
					MMB								
					MMBC								
					MMBS								
					MMCM								
					MMChPV								
					MMF								
					MMG								
					MMH								
					MMI<IH>								
					MMK								
					MMKZ								
					MML								
					MMMN<IH>								
					MMMZ								
					MMNH								
					MMNHS								
					MMNS<IH>								
					MMP								
					MMRF								
					MMS								
					MMTT								
					MMUE								
					MMUM								
					MMUS								
					MN								
					MNA								
					MNA<IH>								
					MNAV								
					MNAV<IH>								
					MNB								
					MNCE								
					MNCN								
					MNCR								
					MND								
					MNDG								
					MNE<IH>								
					MNFD								
					MNG								
					MNGA								
					MNGC								
					MNH								
					MNHCI								
					MNHM								
					MNHM<IH>								
					MNHN								
					MNHN<IH>								
					MNHNCH								
					MNHNCU								
					MNHNJP								
					MNHNLES								
					MNHNM								
					MNHNP								
					MNHNSD								
					MNHNUL								
					MNHP								
					MNHS<IH>								
					MNK								
					MNKS<IH>								
					MNMB								
					MNN								
					MNNC								
					MNNHN								
					MNNW								
					MNRJ								
					MNSB								
					MNSL								
					MNT<IH>								
					MNUFR								
					MNVD<IH>								
					MNVL								
					MO<IH>								
					MOAR<IH>								
					MOBR<IH>								
					MOC<IH>								
					MOD<IH>								
					MODNR<IH>								
					MOFUNG								
					MOG<IH>								
					MOL<IH>								
					MOLA								
					MOM								
					MONA								
					MONT								
					MONTU<IH>								
					MONZ								
					MOR								
					MOR<IH>								
					MOS<IH>								
					MOSG								
					MOSI								
					MOSM<IH>								
					MOSN								
					MOSP<IH>								
					MOSS<IH>								
					MOT<IH>								
					MOTH								
					MOUFPE								
					MOVC<IH>								
					MOVI								
					MP								
					MP<IH>								
					MPA<IH>								
					MPC								
					MPCA								
					MPCNyO								
					MPCRM								
					MPE<IH>								
					MPEF-PV								
					MPEG								
					MPEP								
					MPGB								
					MPH<IH>								
					MPKV								
					MPL								
					MPLN								
					MPM								
					MPMP								
					MPN<IH>								
					MPPD<IH>								
					MPPE								
					MPR<IH>								
					MPRB								
					MPSC								
					MPSN								
					MPSP								
					MPSU								
					MPT								
					MPU<IH>								
					MPUC<IH>								
					MPUM								
					MPUN								
					MPUNR								
					MPV								
					MPZ								
					MQ<IH>								
					MQU								
					MQU<IH>								
					MRA								
					MRAC								
					MRC								
					MRC<IH>								
					MRCA								
					MRCN								
					MRD<IH>								
					MRF								
					MRGS								
					MRI<IH>								
					MRNP								
					MRSC<IH>								
					MRSH<IH>								
					MRSN<IH>								
					MRSP								
					MRST								
					MS<IH>								
					MSA								
					MSB								
					MSB<IH>								
					MSC<IH>								
					MSCL								
					MSCMU								
					MSCW<IH>								
					MSDB								
					MSDS								
					MSE<IH>								
					MSEM								
					MSEN<IH>								
					MSF								
					MSGP								
					MSI<IH>								
					MSIE								
					MSINR								
					MSIR								
					MSJC								
					MSK<IH>								
					MSKH<IH>								
					MSKU<IH>								
					MSL<IH>								
					MSLH								
					MSLY<IH>								
					MSM								
					MSM<IH>								
					MSNA								
					MSNG								
					MSNM<IH>								
					MSNO								
					MSNP								
					MSNT								
					MSNU								
					MSNV								
					MSNVR								
					MSPC								
					MSPC<IH>								
					MSPP								
					MSSC								
					MSTFM								
					MSTR<IH>								
					MSU								
					MSUB								
					MSUB<IH>								
					MSUD<IH>								
					MSUH<IH>								
					MSUM								
					MSUMC								
					MSUMZ								
					MSUN<IH>								
					MSUT								
					MSUT<IH>								
					MSUZ								
					MSV<IH>								
					MT								
					MT<IH>								
					MTA								
					MTCC								
					MTD								
					MTDO<IH>								
					MTEC								
					MTJB<IH>								
					MTKD								
					MTKKU								
					MTMG<IH>								
					MTN<IH>								
					MTQA								
					MTSU<IH>								
					MTUF								
					MU								
					MU<IH>								
					MUACC								
					MUAF								
					MUB<IH>								
					MUCC								
					MUCL								
					MUCL<IH>								
					MUCPv								
					MUCR								
					MUCV<IH>								
					MUDH								
					MUFE<IH>								
					MUFM								
					MUFS								
					MUGM								
					MUH<IH>								
					MUHW<IH>								
					MUJ								
					MUJA								
					MUL								
					MULU								
					MUM								
					MUMF								
					MUMH								
					MUMZ								
					MUNC								
					MUNZ								
					MUO								
					MUP								
					MUR<IH>								
					MURD								
					MURU<IH>								
					MUS<IH>								
					MUSA								
					MUSE								
					MUSK<IH>								
					MUSM								
					MUSN								
					MUST<IH>								
					MUT								
					MUZ<IH>								
					MV								
					MVC<IH>								
					MVDA<IH>								
					MVEN								
					MVFA<IH>								
					MVFQ<IH>								
					MVHC<IH>								
					MVJB<IH>								
					MVM<IH>								
					MVMA								
					MVN<IH>								
					MVNP								
					MVP								
					MVSC<IH>								
					MVUP								
					MVZ								
					MW								
					MW<IH>								
					MWC								
					MWCF<IH>								
					MWFB								
					MWG<IH>								
					MWI<IH>								
					MWNH								
					MWSJ<IH>								
					MWSU								
					MY<IH>								
					MYDC<IH>								
					MYF<IH>								
					MYXOBANK								
					MZ								
					MZ-ICACH								
					MZ<IH>								
					MZAF								
					MZB								
					MZBL								
					MZBS								
					MZCP								
					MZCR								
					MZFC								
					MZFN								
					MZGZ								
					MZH								
					MZKI								
					MZL								
					MZLS								
					MZLU								
					MZN								
					MZNA								
					MZNC								
					MZP								
					MZPW								
					MZRF								
					MZRO								
					MZS								
					MZSF								
					MZSP								
					MZTG								
					MZUABCS								
					MZUB								
					MZUC								
					MZUCR								
					MZUESC								
					MZUF								
					MZUN								
					MZUP								
					MZUR								
					MZUS								
					MZUSP								
					MZUT								
					MZUTH								
					MZUVN								
					MZV								
					MZYU								
					Mbg								
					McGMK								
					McMJ								
					MfN								
					N<IH>								
					NA<IH>								
					NABG<IH>								
					NAC<IH>								
					NAI<IH>								
					NAIC								
					NAM<IH>								
					NAN<IH>								
					NAP								
					NAP<IH>								
					NARA								
					NARI								
					NARL								
					NAS<IH>								
					NASC								
					NASC<IH>								
					NAT<IH>								
					NATC<IH>								
					NAU<IH>								
					NAUF								
					NAUJ								
					NAUVM								
					NAVA<IH>								
					NBAIM								
					NBFGR								
					NBG<IH>								
					NBGB								
					NBIMCC								
					NBM<IH>								
					NBMB								
					NBME								
					NBNM								
					NBPC								
					NBPGR								
					NBRC								
					NBRC<IH>								
					NBRP								
					NBSB								
					NBSI<IH>								
					NBV<IH>								
					NBY<IH>								
					NBYC<IH>								
					NCAIM								
					NCAM								
					NCAS<IH>								
					NCATG<IH>								
					NCAW								
					NCB								
					NCBS<IH>								
					NCC								
					NCC<IH>								
					NCCB								
					NCCB<IH>								
					NCCBH<IH>								
					NCCE<IH>								
					NCCH<IH>								
					NCCN<IH>								
					NCCP								
					NCCPF								
					NCDC								
					NCE<IH>								
					NCFB								
					NCH<IH>								
					NCHU								
					NCIM								
					NCIMB								
					NCIP								
					NCKU<IH>								
					NCLN<IH>								
					NCMA								
					NCMH								
					NCMK								
					NCP<IH>								
					NCPF								
					NCPF<IH>								
					NCPPB								
					NCPV								
					NCRPIS								
					NCS								
					NCSC								
					NCSC<IH>								
					NCSLG<IH>								
					NCSM								
					NCSU								
					NCTC								
					NCU<IH>								
					NCUT								
					NCWRF								
					NCY<IH>								
					NCYC								
					ND<IH>								
					NDA<IH>								
					NDAA								
					NDAT								
					NDFC								
					NDG<IH>								
					NDO<IH>								
					NDSR								
					NDSU								
					NDTC<IH>								
					NE<IH>								
					NEB<IH>								
					NEBC<IH>								
					NEBK<IH>								
					NEFI<IH>								
					NEMO<IH>								
					NEMSU								
					NEMU<IH>								
					NENU<IH>								
					NEON								
					NEPCC								
					NESH<IH>								
					NEU<IH>								
					NEUN<IH>								
					NEW								
					NEWHM								
					NEZ								
					NF<IH>								
					NFCCI								
					NFCCP								
					NFLD<IH>								
					NFM<IH>								
					NFO<IH>								
					NFRC								
					NFRDI								
					NFRI								
					NFRN								
					NGBB<IH>								
					NGI								
					NGM<IH>								
					NGMC								
					NGR								
					NH<IH>								
					NHA<IH>								
					NHCP<IH>								
					NHES<IH>								
					NHG<IH>								
					NHIC<IH>								
					NHL								
					NHM								
					NHM<IH>								
					NHMA								
					NHMB								
					NHMBe								
					NHMC								
					NHMC<IH>								
					NHME								
					NHMF<IH>								
					NHMG								
					NHMK								
					NHML								
					NHMM								
					NHMM-LS								
					NHMN								
					NHMO								
					NHMR								
					NHMR<IH>								
					NHMUK								
					NHMW								
					NHNC								
					NHNE<IH>								
					NHR<IH>								
					NHRI								
					NHRM								
					NHRS								
					NHSD<IH>								
					NHST								
					NHT<IH>								
					NHV<IH>								
					NI								
					NI<IH>								
					NIAB								
					NIAES								
					NIAH								
					NIAS								
					NIBH								
					NIBR								
					NICC								
					NICD								
					NICE<IH>								
					NICH<IH>								
					NIES								
					NIFI								
					NIFRS								
					NIG								
					NIGL								
					NIGP								
					NIHHS<IH>								
					NIM<IH>								
					NINF								
					NIO								
					NIOCC								
					NIOMR								
					NIPR<IH>								
					NIT<IH>								
					NIVA								
					NIWA								
					NJ<IH>								
					NJM								
					NJM<IH>								
					NJNU<IH>								
					NJSM								
					NKA								
					NKMC								
					NKME<IH>								
					NKMU								
					NKU<IH>								
					NKUM								
					NLEC								
					NLH<IH>								
					NLHD								
					NLPS<IH>								
					NLSN<IH>								
					NLU<IH>								
					NLUH<IH>								
					NM<IH>								
					NMAC<IH>								
					NMAG								
					NMB								
					NMB<IH>								
					NMBA								
					NMBE								
					NMBO								
					NMBT<IH>								
					NMBZ								
					NMC								
					NMC<IH>								
					NMCC								
					NMCDC								
					NMCI								
					NMCL								
					NMCR<IH>								
					NME								
					NMED								
					NMEG								
					NMFC<IH>								
					NMFSH								
					NMG								
					NMI								
					NMID								
					NMK								
					NMKE								
					NMKL								
					NML								
					NMLS								
					NMLU<IH>								
					NMMA<IH>								
					NMMBP								
					NMMH								
					NMML								
					NMMNH								
					NMN<IH>								
					NMND								
					NMNH								
					NMNHI								
					NMNK								
					NMNL<IH>								
					NMNS								
					NMNW								
					NMNZ								
					NMP								
					NMPC								
					NMPG								
					NMPG<IH>								
					NMPI								
					NMQR								
					NMR<IH>								
					NMRC								
					NMS								
					NMS-G								
					NMSA								
					NMSL								
					NMSR								
					NMSU								
					NMSU<IH>								
					NMTC<IH>								
					NMTT								
					NMV								
					NMW								
					NMW<IH>								
					NMWC								
					NMWZ								
					NMZB								
					NMZL								
					NNA<IH>								
					NNHMK								
